cliente_id,nome,email,telefone,data_registo,loja_id,idade,genero
1,Rafaela Figueiredo,ivo28@example.com,(351) 960486845,2019-03-06,20,54,F
2,Martim Lima,pinheiroyara@example.net,(351) 279 546 062,2019-04-14,7,66,M
3,Ana Pinto,gomesraquel@example.com,(351) 930981887,2019-10-26,8,60,F
4,Dinis do Carvalho,baptistamelanie@example.org,933108641,2019-01-08,1,53,M
5,Patrícia Costa,eborges@example.org,(351) 283467272,2019-07-23,16,46,F
6,Erica Miranda,abreubrian@example.org,(351) 965 502 587,2023-04-06,10,20,F
7,Valentina-Luciana Almeida,miriamgaspar@example.com,(351) 965 414 317,2021-11-03,9,22,F
8,Bernardo Moreira,dcunha@example.net,(351) 930 998 315,2019-06-23,8,45,M
9,Filipe Castro,marciobranco@example.org,(351) 916816840,2019-04-27,2,35,M
10,Kevin Melo,lucas06@example.com,964 807 253,2019-02-11,19,68,M
11,Isabel Esteves,williamnunes@example.org,295570952,2019-06-20,10,46,F
12,Filipa Pires,wilson55@example.org,(351) 962603346,2019-01-30,16,35,F
13,Maria Branco,isaac05@example.org,(351) 262610815,2020-09-27,14,23,F
14,Débora Magalhães,caetana35@example.org,910 832 213,2019-12-21,3,56,F
15,Mauro Oliveira,laura86@example.net,930943361,2019-04-06,1,61,M
16,Renata de Vieira,emanuelfernandes@example.org,(351) 224242131,2019-04-13,6,54,F
17,Eva-Íris Gaspar,moreiraariana@example.org,(351) 915247423,2019-01-15,9,51,F
18,Marcos Marques,carlota66@example.com,(351) 937 087 451,2019-01-18,16,55,M
19,Joel Gaspar,noavieira@example.org,(351) 236106983,2019-04-26,11,48,M
20,Caetana Amaral,nelson19@example.org,963763111,2019-07-14,6,60,F
21,Rita Vicente,clara09@example.net,+351914143543,2019-12-15,10,44,F
22,Carlota-Ângela Borges,andradealice@example.net,(351) 965 656 136,2019-12-16,15,70,F
23,Lourenço Moreira,barbararocha@example.net,+351236873547,2019-05-28,4,38,M
24,Leonor da Ramos,nunescamila@example.org,(351) 205 436 832,2019-11-30,1,73,F
25,Juliana-Júlia Nunes,abreupetra@example.org,(351) 923574980,2019-11-30,17,44,F
26,Erica de Vicente,andreia42@example.com,(351) 937 089 591,2019-05-01,15,57,F
27,Leonardo Torres,rafaelamachado@example.net,(351) 933 155 464,2019-11-03,5,31,M
28,Mia Machado,nogueirakyara@example.com,963 680 749,2019-06-02,4,46,F
29,Nuno Gomes,jesusemma@example.net,+351929304031,2019-06-26,8,58,M
30,Simão Sousa,henriquesluis@example.com,931181956,2019-02-14,18,37,M
31,Alice-Inês Fonseca,matilde07@example.com,914486585,2020-04-22,4,23,F
32,Sofia Brito,ivanfernandes@example.net,(351) 911 232 523,2019-05-10,5,25,F
33,Violeta Domingues,caetanaalves@example.com,(351) 927359454,2019-09-30,9,63,F
34,Erica-Miriam Nunes,zsoares@example.org,+351960071520,2019-11-30,8,71,F
35,Tatiana Almeida,paivamauro@example.com,(351) 226889898,2019-09-12,7,53,F
36,Salvador Paiva,freitasvera@example.com,+351226754607,2019-04-22,14,73,M
37,Érica Castro,juliana82@example.org,(351) 967829971,2019-03-10,1,68,F
38,Lara Rodrigues,arodrigues@example.org,+351965404172,2019-01-11,19,64,F
39,Nádia-Rita Pinho,arianamota@example.org,(351) 918 766 332,2019-01-31,18,73,F
40,Mara-Raquel Morais,antonioteixeira@example.net,(351) 964595291,2019-05-30,18,40,F
41,Lia Baptista,debora83@example.org,(351) 913 172 561,2019-03-26,7,47,F
42,Nelson Oliveira,xmachado@example.com,+351931512903,2019-10-02,14,54,M
43,Carlos da Magalhães,lmatos@example.net,236 717 373,2019-01-21,13,38,M
44,Iara Branco,lopesema@example.net,(351) 923 507 534,2019-03-31,16,60,F
45,Lisandro Leal,goncalvesbianca@example.org,(351) 930 158 495,2019-03-09,11,26,M
46,Lisandro Freitas,baptistapaulo@example.org,(351) 921 639 940,2019-03-23,17,73,M
47,Alice Santos,luanafernandes@example.net,938966622,2025-11-30,14,18,F
48,Tiago Gaspar,luanagarcia@example.net,(351) 936 254 576,2021-08-21,9,22,M
49,Violeta Campos,machadomicael@example.org,(351) 921043688,2019-01-06,21,57,F
50,Lourenço Garcia,teixeiradaniel@example.net,(351) 910510392,2019-03-15,18,72,M
51,Núria-Nádia Borges,loureirovera@example.org,(351) 967 071 745,2019-11-05,16,38,F
52,Vasco Campos,benedita36@example.net,921642764,2019-01-30,21,57,M
53,Clara Marques,rodriguesnuria@example.net,(351) 966324775,2019-01-28,14,32,F
54,Gustavo da Tavares,lreis@example.com,+351932303192,2019-03-06,4,66,M
55,Mia Campos,glima@example.org,+351913012492,2019-05-05,1,28,F
56,Benjamim Lopes,henriquessebastiao@example.net,(351) 934 351 030,2019-11-15,12,38,M
57,Mélanie Miranda,claudiofigueiredo@example.net,966 329 683,2019-07-19,17,45,F
58,Caetana Pereira,sousasandro@example.net,(351) 926400555,2019-07-04,6,54,F
59,Álvaro Araújo,soraiasilva@example.net,+351230804774,2019-02-24,13,29,M
60,Mário Leal,valmeida@example.net,(351) 939 363 223,2019-12-23,8,49,M
61,Filipa Torres,cleal@example.org,+351931105679,2019-01-23,9,58,F
62,Rafael Nascimento,tomecampos@example.org,(351) 962 712 455,2019-01-26,18,75,M
63,Rodrigo Mota,gnunes@example.net,+351258007794,2021-08-07,19,22,M
64,Beatriz Vieira,sofiamoura@example.net,(351) 917 895 502,2019-09-02,9,58,F
65,Rafaela da Esteves,cpires@example.org,(351) 250 303 284,2019-02-10,13,72,F
66,Luana-Carlota Pinto,batistasara@example.org,(351) 921822399,2019-04-09,19,24,F
67,Carlota-Raquel Fernandes,frederico08@example.com,+351937621426,2019-01-25,10,54,F
68,Mateus Vaz-Nogueira,martim70@example.org,935 438 022,2019-10-20,9,71,M
69,Tomé Neto,guilherme87@example.org,915096316,2019-11-13,2,54,M
70,Alice Silva,tatianaleal@example.com,(351) 232 067 922,2019-04-21,8,71,F
71,Fabiana Jesus-Carneiro,leandroribeiro@example.org,963 642 583,2019-11-25,20,32,F
72,Luciana Cruz,vieiraalicia@example.com,(351) 287395789,2019-02-26,5,61,F
73,Tomás Neves,arianafreitas@example.net,(351) 918336112,2019-04-14,2,75,M
74,Luciana Moura,borgeslaura@example.org,936878537,2019-08-05,19,68,F
75,Lúcia Pires,tlima@example.org,(351) 924657042,2019-02-06,10,64,F
76,Juliana Pires,isabelcunha@example.org,(351) 274 599 061,2019-11-05,7,65,F
77,Wilson Amaral,vitor63@example.org,960 456 114,2019-07-31,17,68,M
78,Ângela Jesus,lorena21@example.org,913 443 181,2019-05-28,16,71,F
